DATE,IC4WSA
5/27/89,324500
6/3/89,325750
6/10/89,325750
6/17/89,329750
6/24/89,333000
7/1/89,339000
7/8/89,341250
7/15/89,344250
7/22/89,342750
7/29/89,339750
8/5/89,339000
8/12/89,337000
8/19/89,335750
8/26/89,334500
9/2/89,332250
9/9/89,331000
9/16/89,332750
9/23/89,333250
9/30/89,337750
10/7/89,355500
10/14/89,358250
10/21/89,361500
10/28/89,363250
11/4/89,344750
11/11/89,342500
11/18/89,339750
11/25/89,336750
12/2/89,339500
12/9/89,340000
12/16/89,344750
12/23/89,354500
12/30/89,358000
1/6/90,362250
1/13/90,365750
1/20/90,364250
1/27/90,361000
2/3/90,364250
2/10/90,363750
2/17/90,357000
2/24/90,358250
3/3/90,354000
3/10/90,349500
3/17/90,349750
3/24/90,345000
3/31/90,343750
4/7/90,348250
4/14/90,350250
4/21/90,357500
4/28/90,361750
5/5/90,358500
5/12/90,358000
5/19/90,356250
5/26/90,355250
6/2/90,358750
6/9/90,359750
6/16/90,361250
6/23/90,362000
6/30/90,361000
7/7/90,361750
7/14/90,363750
7/21/90,365750
7/28/90,367000
8/4/90,368750
8/11/90,372250
8/18/90,378000
8/25/90,384250
9/1/90,390000
9/8/90,392250
9/15/90,392750
9/22/90,391500
9/29/90,394500
10/6/90,398000
10/13/90,404750
10/20/90,416250
10/27/90,425250
11/3/90,431750
11/10/90,438250
11/17/90,441250
11/24/90,446750
12/1/90,452000
12/8/90,452250
12/15/90,452250
12/22/90,455250
12/29/90,456000
1/5/91,447500
1/12/91,445000
1/19/91,437750
1/26/91,439750
2/2/91,456750
2/9/91,467500
2/16/91,474750
2/23/91,484000
3/2/91,485250
3/9/91,490000
3/16/91,496000
3/23/91,498500
3/30/91,501250
4/6/91,489500
4/13/91,484250
4/20/91,476500
4/27/91,467250
5/4/91,467000
5/11/91,459250
5/18/91,451750
5/25/91,447000
6/1/91,442250
6/8/91,441000
6/15/91,436250
6/22/91,431250
6/29/91,427750
7/6/91,423000
7/13/91,420750
7/20/91,417000
7/27/91,418250
8/3/91,422250
8/10/91,426500
8/17/91,432750
8/24/91,433250
8/31/91,430000
9/7/91,426750
9/14/91,423000
9/21/91,421500
9/28/91,424500
10/5/91,424500
10/12/91,426250
10/19/91,426250
10/26/91,422750
11/2/91,428500
11/9/91,435500
11/16/91,440500
11/23/91,445750
11/30/91,445000
12/7/91,450500
12/14/91,459500
12/21/91,457500
12/28/91,456750
1/4/92,446000
1/11/92,437250
1/18/92,439000
1/25/92,439000
2/1/92,441000
2/8/92,442250
2/15/92,443000
2/22/92,441750
2/29/92,442750
3/7/92,436750
